Instrucción,Fecha Resultado
19/03/49 por favor el viernes que viene,26/03/49
01/08/23 el jueves siguiente,03/08/23
10/04/21 en tres días gracias,13/04/21
02/03/24 este lunes que viene por favor,04/03/24
15/04/42 el siguiente viernes gracias,18/04/42
01/01/55 en un par de días,03/01/55
12/10/30 el siguiente viernes gracias,18/10/30
29/10/32 este martes gracias,02/11/32
01/07/16 el siguiente jueves,07/07/16
29/09/44 el siguiente viernes,30/09/44
12/01/38 por favor el miércoles,13/01/38
20/11/18 el miércoles que viene,21/11/18
06/08/37 este miércoles siguiente,12/08/37
26/05/33 por favor el siguiente viernes,27/05/33
01/10/32 el viernes,08/10/32
09/12/35 el próximo jueves,13/12/35
31/01/25 el viernes próximo por favor,07/02/25
08/06/40 por favor este jueves siguiente,14/06/40
20/02/16 este miércoles gracias,24/02/16
06/04/51 el miércoles,12/04/51
07/10/11 pasado mañana por favor,09/10/11
31/08/51 el próximo martes por favor,05/09/51
03/07/20 por favor este jueves,09/07/20
16/12/08 por favor el lunes que viene,22/12/08
20/03/24 por favor el miércoles,27/03/24
25/02/21 en tres días,28/02/21
27/10/49 el martes próximo,02/11/49
10/10/38 el lunes que viene,11/10/38
03/03/34 este miércoles por favor,08/03/34
03/08/17 en un par de días,05/08/17
31/01/13 por favor el miércoles,06/02/13
01/06/13 en un par de días,03/06/13
07/06/42 por favor el siguiente miércoles,11/06/42
15/11/00 el siguiente martes,21/11/00
05/11/15 el próximo martes,10/11/15
25/10/37 el siguiente martes,27/10/37
26/10/44 el viernes gracias,28/10/44
24/01/12 el próximo viernes,27/01/12
30/07/56 por favor el próximo martes,01/08/56
20/05/46 este lunes siguiente,21/05/46
27/11/47 por favor en un par de días,29/11/47
28/04/28 en tres días,01/05/28
28/08/43 en un par de días,30/08/43
01/12/26 el miércoles,02/12/26
07/07/22 pasado mañana,09/07/22
07/06/50 el siguiente viernes,10/06/50
10/12/50 el próximo miércoles,14/12/50
12/04/04 el siguiente viernes,16/04/04
28/09/35 el siguiente viernes,05/10/35
17/11/08 el siguiente martes gracias,18/11/08
27/08/14 este miércoles,03/09/14
21/05/05 el martes siguiente,24/05/05
01/05/19 en tres días,04/05/19
24/10/22 por favor el miércoles que viene,26/10/22
02/10/42 en un par de días,04/10/42
04/07/56 el siguiente miércoles,05/07/56
21/08/08 el jueves,28/08/08
10/05/40 en tres días,13/05/40
09/01/30 el próximo jueves,10/01/30
22/04/23 por favor el martes siguiente,25/04/23
20/05/32 en tres días,23/05/32
28/04/32 por favor en tres días,01/05/32
09/04/50 el próximo martes,12/04/50
05/01/50 este jueves,06/01/50
13/02/23 este martes siguiente,14/02/23
15/11/30 mañana,16/11/30
11/10/01 el próximo martes,16/10/01
09/12/36 por favor el próximo viernes,12/12/36
16/11/10 el viernes que viene,19/11/10
01/07/31 en tres días,04/07/31
19/12/60 el jueves que viene por favor,23/12/60
30/04/54 el viernes siguiente,01/05/54
06/11/17 el próximo miércoles por favor,08/11/17
02/10/51 este viernes,06/10/51
31/08/51 este viernes que viene,01/09/51
20/04/58 el próximo lunes,22/04/58
27/03/58 en tres días gracias,30/03/58
21/04/48 mañana,22/04/48
29/08/15 en tres días,01/09/15
14/07/25 por favor el próximo miércoles,16/07/25
10/11/31 este martes siguiente,11/11/31
01/03/29 el jueves,08/03/29
24/05/60 por favor el jueves próximo,27/05/60
17/10/45 este viernes,20/10/45
26/09/43 en tres días,29/09/43
05/02/40 este lunes próximo por favor,06/02/40
13/01/07 este martes,16/01/07
09/03/34 por favor el siguiente miércoles,15/03/34
20/01/55 el próximo jueves,21/01/55
14/09/25 en un par de días,16/09/25
09/08/41 mañana por favor,10/08/41
02/09/56 en tres días,05/09/56
29/12/12 este martes gracias,01/01/13
13/01/15 el próximo jueves,15/01/15
20/06/57 el viernes siguiente por favor,22/06/57
08/04/30 el miércoles siguiente,10/04/30
04/11/37 el siguiente lunes,09/11/37
19/08/56 en tres días,22/08/56
07/12/54 el próximo martes,08/12/54
14/04/51 por favor en un par de días,16/04/51
24/04/36 el próximo viernes,25/04/36
26/05/06 el siguiente miércoles gracias,31/05/06
05/02/07 el siguiente lunes,12/02/07
14/07/14 por favor el próximo viernes,18/07/14
29/10/30 mañana,30/10/30
22/06/20 mañana,23/06/20
15/02/28 pasado mañana,17/02/28
05/06/28 mañana,06/06/28
01/08/58 el próximo viernes por favor,02/08/58
20/02/26 el miércoles,25/02/26
30/12/23 el jueves,04/01/24
24/04/54 el próximo viernes,01/05/54
31/10/57 en un par de días gracias,02/11/57
24/06/35 mañana,25/06/35
02/05/24 el martes,07/05/24
30/11/39 este martes próximo,06/12/39
31/07/32 el jueves próximo,05/08/32
27/08/52 en tres días,30/08/52
26/09/46 el lunes siguiente,01/10/46
25/05/40 este jueves por favor,31/05/40
20/02/37 pasado mañana,22/02/37
04/01/15 el lunes,05/01/15
30/06/16 el próximo lunes gracias,04/07/16
26/01/02 el miércoles,30/01/02
21/03/11 el lunes que viene,28/03/11
18/01/21 por favor en tres días,21/01/21
24/05/59 este lunes,26/05/59
29/07/22 el siguiente jueves,04/08/22
08/03/07 en tres días por favor,11/03/07
22/11/18 el próximo viernes por favor,23/11/18
22/12/14 por favor en un par de días,24/12/14
15/08/35 pasado mañana,17/08/35
29/03/09 el miércoles gracias,01/04/09
28/07/08 este lunes siguiente por favor,04/08/08
21/09/05 en tres días gracias,24/09/05
14/06/42 en tres días,17/06/42
15/03/49 por favor este jueves siguiente,18/03/49
29/10/04 este miércoles que viene,03/11/04
13/05/02 el próximo jueves,16/05/02
14/08/35 el miércoles que viene,15/08/35
03/01/47 este lunes por favor,07/01/47
20/06/07 en un par de días por favor,22/06/07
28/04/09 este lunes,04/05/09
19/07/23 el próximo martes,25/07/23
14/06/55 este lunes que viene,21/06/55
06/12/13 el viernes,13/12/13
25/07/07 en tres días,28/07/07
30/09/58 en tres días por favor,03/10/58
22/12/34 pasado mañana,24/12/34
03/10/27 este viernes próximo gracias,08/10/27
29/07/20 mañana,30/07/20
12/03/22 el siguiente jueves,17/03/22
29/06/25 por favor el siguiente lunes,30/06/25
04/10/39 en tres días,07/10/39
15/03/56 en tres días por favor,18/03/56
05/05/11 mañana,06/05/11
11/10/11 por favor mañana,12/10/11
04/04/47 el siguiente lunes,08/04/47
22/04/15 el próximo miércoles,29/04/15
25/07/02 este martes que viene,30/07/02
25/02/03 en tres días,28/02/03
13/07/59 el siguiente lunes,14/07/59
05/01/32 en un par de días,07/01/32
05/03/29 en un par de días,07/03/29
19/09/42 por favor pasado mañana,21/09/42
29/11/41 por favor el próximo miércoles,04/12/41
30/06/48 el próximo viernes,03/07/48
09/06/24 este viernes siguiente,14/06/24
18/03/49 el lunes próximo,22/03/49
28/11/39 el jueves,01/12/39
14/02/12 pasado mañana,16/02/12
19/05/48 por favor el jueves que viene,21/05/48
19/11/15 este martes,24/11/15
02/01/53 el próximo miércoles,08/01/53
11/08/53 el martes,12/08/53
16/12/40 por favor el siguiente miércoles,19/12/40
12/08/56 en un par de días,14/08/56
16/01/57 este miércoles,17/01/57
06/08/50 este viernes próximo,12/08/50
09/01/39 este viernes por favor,14/01/39
17/12/46 el martes que viene gracias,18/12/46
25/05/57 el martes que viene,29/05/57
17/05/57 este viernes gracias,18/05/57
21/11/47 el siguiente jueves,28/11/47
12/10/27 el jueves próximo,14/10/27
23/02/31 el próximo jueves,27/02/31
18/03/43 este lunes siguiente,23/03/43
31/05/48 el siguiente viernes,05/06/48
17/05/20 por favor en tres días,20/05/20
13/01/08 el próximo jueves por favor,17/01/08
22/08/39 en tres días,25/08/39
15/08/27 el martes siguiente,17/08/27
24/10/32 el próximo miércoles,27/10/32
24/12/36 el lunes próximo gracias,29/12/36
23/04/23 el miércoles siguiente,26/04/23
20/12/13 el viernes siguiente,27/12/13
27/03/27 el jueves siguiente,01/04/27
11/12/00 el próximo miércoles gracias,13/12/00
04/01/00 el miércoles,05/01/00
13/12/46 en tres días,16/12/46
24/03/12 por favor en un par de días,26/03/12
07/11/30 por favor el lunes que viene,11/11/30
22/09/25 este miércoles que viene gracias,24/09/25
03/02/42 por favor este jueves siguiente,06/02/42
03/01/48 en un par de días,05/01/48
29/09/00 el martes gracias,03/10/00
18/02/44 el siguiente martes,23/02/44
19/10/42 el próximo lunes,20/10/42
17/11/26 este miércoles siguiente gracias,18/11/26
26/10/00 el viernes que viene,27/10/00
13/08/38 el próximo viernes gracias,20/08/38
12/04/26 el miércoles,15/04/26
23/07/53 mañana,24/07/53
28/09/20 en un par de días por favor,30/09/20
24/08/00 mañana,25/08/00
07/03/49 el miércoles que viene,10/03/49
09/07/33 este lunes gracias,11/07/33
01/12/16 el siguiente miércoles gracias,07/12/16
08/12/36 por favor este jueves que viene,11/12/36
16/04/50 este miércoles por favor,20/04/50
20/03/39 el próximo viernes gracias,25/03/39
01/06/35 el lunes próximo,04/06/35
02/06/22 el viernes,03/06/22
25/08/14 este martes siguiente,26/08/14
14/12/57 el siguiente miércoles,19/12/57
18/12/34 este martes siguiente,19/12/34
11/12/33 el lunes,12/12/33
16/10/19 el jueves que viene gracias,17/10/19
05/08/23 el viernes siguiente por favor,11/08/23
08/02/07 el siguiente viernes,09/02/07
17/11/37 en tres días por favor,20/11/37
06/02/56 el siguiente miércoles,09/02/56
28/06/21 el próximo martes,29/06/21
07/05/46 en un par de días gracias,09/05/46
05/01/55 este miércoles siguiente,06/01/55
22/05/24 este jueves próximo por favor,23/05/24
16/07/25 este viernes gracias,18/07/25
05/03/58 el próximo miércoles gracias,06/03/58
21/09/47 por favor el siguiente viernes,27/09/47
12/02/24 este miércoles que viene por favor,14/02/24
16/01/37 en tres días por favor,19/01/37
12/11/16 en tres días,15/11/16
21/02/06 por favor en tres días,24/02/06
13/05/16 mañana gracias,14/05/16
03/04/12 el martes,10/04/12
24/12/25 por favor el siguiente martes,30/12/25
25/11/09 el próximo miércoles gracias,02/12/09
19/02/57 este viernes gracias,23/02/57
06/11/40 este miércoles que viene gracias,07/11/40
02/06/55 el próximo lunes,07/06/55
14/08/40 el lunes siguiente,20/08/40
31/05/24 el miércoles siguiente,05/06/24
14/11/55 este martes siguiente,16/11/55
20/02/44 el viernes siguiente,26/02/44
05/11/16 el siguiente miércoles,09/11/16
06/10/28 por favor este viernes,13/10/28
27/09/01 pasado mañana,29/09/01
25/08/13 en un par de días,27/08/13
14/06/04 por favor el jueves próximo,17/06/04
29/12/47 en un par de días,31/12/47
26/12/01 este viernes por favor,28/12/01
05/09/16 el próximo martes gracias,06/09/16
05/03/09 el siguiente viernes,06/03/09
23/04/25 el siguiente miércoles por favor,30/04/25
24/02/24 este viernes próximo gracias,01/03/24
21/03/11 pasado mañana por favor,23/03/11
02/05/39 este miércoles próximo,04/05/39
25/09/00 el próximo jueves,28/09/00
19/11/20 en un par de días,21/11/20
03/02/08 este miércoles gracias,06/02/08
08/07/13 el jueves siguiente gracias,11/07/13
27/04/01 por favor el lunes siguiente,30/04/01
12/04/44 el próximo lunes gracias,18/04/44
26/06/19 el viernes,28/06/19
03/09/30 en tres días,06/09/30
13/09/37 por favor mañana,14/09/37
14/12/27 en tres días,17/12/27
17/09/44 este miércoles próximo,21/09/44
26/04/33 el siguiente viernes,29/04/33
07/08/41 el martes,13/08/41
05/11/02 por favor en tres días,08/11/02
17/08/29 este miércoles que viene,22/08/29
13/03/07 en tres días,16/03/07
08/02/13 este miércoles próximo,13/02/13
10/01/05 el siguiente martes gracias,11/01/05
28/11/23 este martes siguiente gracias,05/12/23
16/03/35 este viernes próximo,23/03/35
28/05/06 en tres días,31/05/06
24/09/48 por favor pasado mañana,26/09/48
06/03/42 pasado mañana,08/03/42
16/04/16 mañana,17/04/16
29/03/17 este martes que viene,04/04/17
08/06/22 el miércoles por favor,15/06/22
26/03/34 pasado mañana,28/03/34
17/02/01 el lunes próximo,19/02/01
10/12/10 el siguiente lunes,13/12/10
02/05/22 en un par de días,04/05/22
10/07/34 el siguiente martes gracias,11/07/34
27/09/39 por favor el siguiente jueves,29/09/39
05/03/22 este martes,08/03/22
03/01/03 este jueves,09/01/03
13/11/17 el jueves,16/11/17
05/05/41 por favor el viernes que viene,10/05/41
05/06/08 por favor el miércoles,11/06/08
02/10/46 por favor pasado mañana,04/10/46
01/10/59 el jueves que viene,02/10/59
13/09/18 este viernes,14/09/18
02/06/42 el miércoles,04/06/42
28/11/34 por favor este jueves que viene,30/11/34
01/01/28 el viernes que viene,07/01/28
25/12/28 el lunes próximo gracias,01/01/29
25/03/14 este martes que viene gracias,01/04/14
11/06/56 el siguiente miércoles,14/06/56
14/10/03 el viernes gracias,17/10/03
21/04/49 por favor en un par de días,23/04/49
25/09/46 el próximo viernes,28/09/46
16/12/10 por favor el siguiente viernes,17/12/10
22/09/22 el viernes que viene por favor,23/09/22
04/03/43 en un par de días,06/03/43
14/04/57 en un par de días,16/04/57
22/10/26 este martes siguiente por favor,27/10/26
29/10/17 el martes,31/10/17
02/05/32 el próximo miércoles,05/05/32
02/09/04 este martes,07/09/04
24/10/59 el próximo viernes por favor,31/10/59
16/07/19 por favor el martes que viene,23/07/19
17/02/10 el jueves,18/02/10
03/03/21 este jueves,04/03/21
12/10/56 mañana,13/10/56
13/12/38 el miércoles,15/12/38
10/02/29 el miércoles por favor,14/02/29
08/05/01 el jueves,10/05/01
06/01/15 el próximo jueves,08/01/15
08/10/24 en un par de días,10/10/24
15/06/52 en un par de días por favor,17/06/52
25/09/10 pasado mañana,27/09/10
05/07/35 el miércoles,11/07/35
22/10/21 pasado mañana,24/10/21
19/10/00 el jueves por favor,26/10/00
08/10/03 en un par de días gracias,10/10/03
17/02/52 el próximo viernes por favor,23/02/52
21/08/42 en tres días,24/08/42
27/06/53 en un par de días por favor,29/06/53
26/11/13 en tres días,29/11/13
26/04/33 el lunes próximo,02/05/33
11/01/08 este martes que viene,15/01/08
25/04/22 el próximo miércoles,27/04/22
23/02/14 el siguiente jueves,27/02/14
06/11/44 en tres días,09/11/44
14/03/08 en un par de días,16/03/08
02/07/55 el próximo lunes gracias,05/07/55
12/05/30 este miércoles siguiente,15/05/30
31/01/56 este jueves,03/02/56
21/05/05 en tres días por favor,24/05/05
12/05/05 el lunes gracias,16/05/05
23/11/31 el lunes que viene gracias,24/11/31
29/10/57 el viernes,02/11/57
22/10/13 en un par de días,24/10/13
13/02/48 el siguiente jueves,20/02/48
20/08/09 el siguiente martes,25/08/09
16/04/11 el miércoles próximo,20/04/11
07/10/43 el próximo miércoles,14/10/43
15/11/20 el viernes,20/11/20
31/05/28 en un par de días por favor,02/06/28
03/02/50 el viernes,04/02/50
31/10/57 el viernes próximo,02/11/57
27/02/31 este lunes que viene por favor,03/03/31
11/05/39 en un par de días,13/05/39
24/04/17 en un par de días gracias,26/04/17
30/11/01 el viernes,07/12/01
21/11/33 el próximo jueves,24/11/33
18/02/32 por favor mañana,19/02/32
01/02/12 por favor el próximo martes,07/02/12
28/06/22 en tres días gracias,01/07/22
17/07/03 el próximo viernes por favor,18/07/03
16/07/43 en un par de días gracias,18/07/43
02/04/39 por favor el jueves,07/04/39
25/02/50 el jueves por favor,03/03/50
10/06/26 el siguiente viernes gracias,12/06/26
09/09/48 este martes,15/09/48
20/12/43 el próximo jueves,24/12/43
09/01/17 mañana gracias,10/01/17
03/11/50 por favor este lunes,07/11/50
28/09/16 mañana gracias,29/09/16
08/10/48 este lunes,12/10/48
11/03/31 en un par de días,13/03/31
14/01/29 el próximo miércoles,17/01/29
08/01/42 el lunes,13/01/42
12/09/24 el miércoles siguiente,18/09/24
16/09/53 por favor pasado mañana,18/09/53
30/09/49 por favor el siguiente lunes,04/10/49
21/05/14 el miércoles gracias,28/05/14
06/03/06 el martes que viene,07/03/06
26/08/47 el próximo viernes,30/08/47
27/11/13 el miércoles próximo gracias,04/12/13
25/04/40 el siguiente jueves,26/04/40
11/07/26 por favor este jueves próximo,16/07/26
17/08/23 el jueves,24/08/23
03/08/48 por favor el próximo viernes,07/08/48
07/12/32 pasado mañana,09/12/32
26/09/40 en tres días,29/09/40
24/01/00 el siguiente viernes,28/01/00
28/03/57 el próximo jueves,29/03/57
23/05/45 el próximo jueves por favor,25/05/45
02/01/34 el próximo lunes por favor,09/01/34
23/08/16 el siguiente lunes,29/08/16
05/09/01 por favor el lunes próximo,10/09/01
07/08/55 este jueves que viene,12/08/55
30/08/32 en tres días,02/09/32
22/08/55 el miércoles por favor,25/08/55
03/06/21 este jueves,10/06/21
08/10/28 este lunes que viene,09/10/28
06/09/05 el martes próximo,13/09/05
21/01/59 el jueves que viene por favor,23/01/59
08/05/48 el viernes siguiente,15/05/48
06/10/34 este jueves,12/10/34
12/01/17 este viernes gracias,13/01/17
06/01/47 por favor en tres días,09/01/47
20/08/44 este martes,23/08/44
22/06/49 el próximo viernes,25/06/49
29/10/13 este jueves,31/10/13
31/12/54 por favor el siguiente lunes,04/01/55
26/05/25 el siguiente martes,27/05/25
09/12/28 este viernes siguiente,15/12/28
06/10/36 el siguiente miércoles,08/10/36
01/07/57 el viernes siguiente,06/07/57
21/11/28 este miércoles que viene gracias,22/11/28
28/11/09 el martes próximo,01/12/09
20/08/08 el próximo jueves gracias,21/08/08
09/12/46 el siguiente jueves,13/12/46
10/02/59 en tres días gracias,13/02/59
24/12/05 en un par de días,26/12/05
05/12/03 el viernes,12/12/03
23/08/11 el miércoles próximo,24/08/11
10/01/16 mañana por favor,11/01/16
21/10/02 el siguiente lunes,28/10/02
16/02/18 por favor el miércoles que viene,21/02/18
08/08/09 este martes,11/08/09
18/07/43 en un par de días,20/07/43
10/03/17 el jueves,16/03/17
09/11/08 el martes por favor,11/11/08
08/11/02 el martes,12/11/02
24/03/51 el lunes que viene por favor,27/03/51
28/07/57 pasado mañana,30/07/57
11/11/34 este viernes próximo,17/11/34
09/01/59 pasado mañana,11/01/59
14/12/43 este viernes próximo,18/12/43
05/03/47 en un par de días,07/03/47
24/12/55 el siguiente jueves,30/12/55
15/12/52 este lunes que viene por favor,16/12/52
17/12/22 el lunes que viene,19/12/22
27/05/04 por favor el siguiente lunes,31/05/04
12/11/32 este jueves,18/11/32
20/10/19 en tres días,23/10/19
12/05/54 en tres días gracias,15/05/54
11/05/06 el próximo martes,16/05/06
04/03/01 el lunes que viene,05/03/01
22/09/18 por favor el próximo miércoles,26/09/18
30/10/58 el próximo jueves,31/10/58
01/02/44 en tres días,04/02/44
05/03/07 este miércoles,07/03/07
28/12/41 el siguiente jueves,02/01/42
27/04/57 el martes siguiente por favor,01/05/57
12/06/05 este lunes siguiente,13/06/05
18/05/32 este martes,25/05/32
23/01/50 por favor el siguiente miércoles,26/01/50
25/04/37 en tres días gracias,28/04/37
09/02/33 en tres días,12/02/33
25/03/05 en un par de días por favor,27/03/05
07/05/55 este miércoles próximo,12/05/55
06/11/23 este lunes,13/11/23
17/06/47 el próximo martes gracias,18/06/47
25/08/03 el próximo martes,26/08/03
25/04/06 este viernes siguiente por favor,28/04/06
07/04/27 el siguiente miércoles,14/04/27
28/12/06 este lunes próximo,01/01/07
15/05/19 en tres días,18/05/19
09/08/46 el lunes,13/08/46
17/09/08 este jueves,18/09/08
29/01/09 este jueves siguiente,05/02/09
21/09/20 mañana por favor,22/09/20
12/09/47 este martes que viene gracias,17/09/47
27/07/34 por favor este jueves que viene,03/08/34
30/12/16 el miércoles siguiente gracias,04/01/17
29/04/17 el jueves por favor,04/05/17
17/03/47 este viernes que viene,22/03/47
06/12/58 este martes que viene,10/12/58
26/04/22 el siguiente miércoles,27/04/22
20/02/51 en tres días,23/02/51
06/02/56 este miércoles próximo,09/02/56
19/01/16 en tres días,22/01/16
05/02/50 el jueves,10/02/50
27/01/50 el siguiente martes,01/02/50
31/03/37 por favor en un par de días,02/04/37
19/06/09 por favor pasado mañana,21/06/09
17/04/57 mañana,18/04/57
22/09/51 en tres días,25/09/51
11/02/32 mañana,12/02/32
05/07/60 este viernes,09/07/60
25/02/41 este martes siguiente gracias,26/02/41
06/09/59 este lunes,08/09/59
25/04/38 el próximo viernes por favor,30/04/38
04/05/09 en tres días,07/05/09
19/12/14 este miércoles próximo por favor,24/12/14
08/03/16 el miércoles,09/03/16
04/05/49 este jueves próximo,06/05/49
10/01/36 mañana gracias,11/01/36
11/04/45 pasado mañana por favor,13/04/45
12/04/30 por favor mañana,13/04/30
28/12/58 el siguiente viernes,03/01/59
11/03/14 mañana,12/03/14
24/11/47 el siguiente viernes,29/11/47
27/10/53 el jueves próximo,30/10/53
29/09/39 el lunes que viene,03/10/39
10/08/31 el lunes que viene,11/08/31
09/04/28 mañana gracias,10/04/28
08/05/49 este lunes,10/05/49
15/02/29 el próximo viernes por favor,16/02/29
07/05/33 este viernes que viene por favor,13/05/33
28/12/36 en tres días,31/12/36
23/10/56 en un par de días gracias,25/10/56
18/08/38 en un par de días,20/08/38
06/01/29 este viernes que viene por favor,12/01/29
01/08/54 en tres días por favor,04/08/54
05/08/21 en un par de días por favor,07/08/21
10/07/50 el jueves siguiente,14/07/50
13/12/48 este lunes,14/12/48
11/03/19 por favor en tres días,14/03/19
25/08/33 el lunes gracias,29/08/33
13/05/49 el siguiente martes,18/05/49
17/10/22 en tres días,20/10/22
18/04/32 este viernes,23/04/32
02/08/40 el jueves próximo gracias,09/08/40
23/02/40 este miércoles,29/02/40
16/08/35 por favor en un par de días,18/08/35
07/01/00 este martes siguiente,11/01/00
09/02/03 el siguiente lunes,10/02/03
09/07/25 mañana,10/07/25
12/06/53 este miércoles que viene,18/06/53
18/06/01 por favor el lunes próximo,25/06/01
09/06/46 este martes,12/06/46
13/02/12 mañana,14/02/12
29/01/27 este lunes que viene,01/02/27
03/08/00 el jueves por favor,10/08/00
11/12/26 este martes próximo gracias,15/12/26
27/11/19 el jueves,28/11/19
10/04/19 el martes,16/04/19
01/04/28 el siguiente jueves,06/04/28
12/12/01 el próximo lunes,17/12/01
03/10/24 el jueves,10/10/24
02/09/49 el siguiente viernes,03/09/49
13/11/45 en un par de días por favor,15/11/45
28/11/49 el martes siguiente gracias,30/11/49
13/03/51 el próximo viernes,17/03/51
13/04/51 por favor este jueves,20/04/51
17/11/13 el martes,19/11/13
16/06/08 el próximo martes gracias,17/06/08
21/05/03 por favor en un par de días,23/05/03
20/04/41 en tres días,23/04/41
28/11/31 el lunes,01/12/31
02/01/14 el miércoles que viene,08/01/14
01/06/12 el viernes gracias,08/06/12
10/10/23 el viernes,13/10/23
06/12/32 este lunes,13/12/32
24/03/52 en tres días por favor,27/03/52
01/06/22 el lunes,06/06/22
25/11/20 el lunes,30/11/20
27/12/22 el próximo miércoles,28/12/22
10/12/26 el próximo martes por favor,15/12/26
30/03/08 en tres días,02/04/08
07/03/51 por favor este jueves siguiente,09/03/51
13/11/35 este miércoles próximo,14/11/35
20/01/51 este miércoles que viene,25/01/51
04/07/19 el siguiente lunes,08/07/19
04/12/06 el próximo martes,05/12/06
16/02/29 pasado mañana,18/02/29
16/04/43 este martes que viene,21/04/43
06/07/15 este miércoles,08/07/15
21/10/43 este martes que viene,27/10/43
11/09/51 este jueves gracias,14/09/51
21/07/08 en un par de días,23/07/08
26/05/53 este miércoles próximo por favor,28/05/53
14/08/57 el siguiente miércoles gracias,15/08/57
13/12/26 el próximo miércoles,16/12/26
09/05/03 el viernes que viene gracias,16/05/03
13/09/51 por favor el martes,19/09/51
25/03/34 el miércoles que viene,29/03/34
15/01/07 el viernes,19/01/07
06/01/05 el jueves,13/01/05
31/12/29 el martes gracias,01/01/30
19/03/31 en un par de días,21/03/31
18/12/38 en tres días,21/12/38
14/05/37 el lunes por favor,18/05/37
24/10/10 el siguiente viernes gracias,29/10/10
04/05/20 en un par de días gracias,06/05/20
25/07/58 este jueves siguiente,01/08/58
13/01/54 este viernes,16/01/54
09/01/01 el próximo miércoles gracias,10/01/01
13/11/56 en tres días,16/11/56
18/09/56 por favor el siguiente jueves,21/09/56
25/04/34 en tres días por favor,28/04/34
08/11/04 este lunes que viene por favor,15/11/04
06/05/27 en un par de días por favor,08/05/27
16/01/47 el jueves,17/01/47
11/09/03 este viernes próximo,12/09/03
24/08/28 el próximo viernes,25/08/28
09/06/48 este lunes,15/06/48
06/09/50 el próximo miércoles gracias,07/09/50
02/06/13 el próximo jueves,06/06/13
27/04/29 por favor este jueves siguiente,03/05/29
26/01/45 este martes siguiente,31/01/45
23/10/19 por favor este miércoles próximo,30/10/19
28/09/13 el miércoles por favor,02/10/13
13/07/04 el martes próximo gracias,20/07/04
07/06/60 el jueves por favor,10/06/60
31/03/35 el viernes,06/04/35
23/12/39 el siguiente lunes,26/12/39
23/05/53 el lunes,26/05/53
10/08/51 en un par de días gracias,12/08/51
12/04/45 por favor este miércoles que viene,19/04/45
30/01/08 pasado mañana,01/02/08
04/12/19 pasado mañana,06/12/19
01/10/38 este lunes,04/10/38
30/12/25 pasado mañana,01/01/26
18/05/35 por favor el próximo martes,22/05/35
12/04/13 este jueves próximo gracias,18/04/13
10/11/11 este viernes que viene,11/11/11
27/02/30 mañana,28/02/30
28/05/07 el próximo martes por favor,29/05/07
09/09/42 el lunes,15/09/42
07/04/51 por favor el viernes,14/04/51
03/06/04 el siguiente jueves,10/06/04
05/03/49 este jueves gracias,11/03/49
24/10/35 el siguiente martes,30/10/35
22/07/23 el próximo martes gracias,25/07/23
19/08/07 el miércoles,22/08/07
02/10/35 el próximo martes,09/10/35
07/01/45 este lunes próximo,09/01/45
24/12/38 el siguiente miércoles gracias,29/12/38
12/09/11 el martes siguiente,13/09/11
06/02/12 mañana por favor,07/02/12
22/02/43 el miércoles siguiente por favor,25/02/43
06/03/50 el próximo martes,08/03/50
09/10/17 en un par de días por favor,11/10/17
08/10/43 el siguiente viernes,09/10/43
19/06/35 este viernes próximo,22/06/35
07/07/58 el martes,09/07/58
04/04/51 este miércoles que viene por favor,05/04/51
04/08/17 el miércoles,09/08/17
06/05/50 el martes,10/05/50
06/04/55 el próximo lunes por favor,12/04/55
12/01/47 el siguiente lunes,14/01/47
02/02/22 el siguiente lunes,07/02/22
27/09/21 este lunes siguiente,04/10/21
05/06/06 el siguiente martes,06/06/06
20/11/23 por favor en un par de días,22/11/23
01/08/38 en un par de días,03/08/38
05/01/29 el próximo miércoles por favor,10/01/29
04/09/51 el viernes,08/09/51
14/01/08 el siguiente miércoles,16/01/08
04/02/10 el próximo lunes,08/02/10
06/04/60 en tres días por favor,09/04/60
07/02/37 en tres días,10/02/37
30/12/37 mañana por favor,31/12/37
08/10/32 por favor este viernes,15/10/32
01/04/31 el próximo lunes,07/04/31
01/02/17 el martes que viene,07/02/17
09/10/28 por favor el viernes,13/10/28
28/11/30 el miércoles,04/12/30
12/04/53 el martes siguiente por favor,15/04/53
19/10/58 el miércoles siguiente,23/10/58
04/03/02 el siguiente martes gracias,05/03/02
07/05/27 por favor el martes próximo,11/05/27
09/03/15 pasado mañana,11/03/15
17/05/31 este lunes gracias,19/05/31
14/04/55 en tres días,17/04/55
03/09/39 este viernes,09/09/39
28/11/55 el miércoles próximo,01/12/55
30/01/13 en tres días gracias,02/02/13
08/07/39 el próximo martes,12/07/39
10/01/04 por favor este jueves,15/01/04
11/12/20 en un par de días por favor,13/12/20
30/11/17 el siguiente martes por favor,05/12/17
15/07/33 el jueves,21/07/33
29/12/13 en tres días por favor,01/01/14
12/09/07 el siguiente viernes,14/09/07
30/01/10 en tres días,02/02/10
22/11/04 en un par de días,24/11/04
21/10/21 en un par de días,23/10/21
18/09/55 este jueves por favor,23/09/55
01/04/13 el miércoles que viene,03/04/13
22/10/25 este viernes siguiente gracias,24/10/25
26/03/01 este jueves que viene,29/03/01
18/10/30 este miércoles,23/10/30
25/12/09 en tres días por favor,28/12/09
17/05/27 mañana,18/05/27
17/05/40 el próximo miércoles,23/05/40
